NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
ITAGUATINS;ESCOLA ESTADUAL OLAVO BILAC;RUA NILTON MARCIEL BARRETO;CENTRO;77920000;-5.7786381;-47.4832072
PALMAS;ESCOLA ESTADUAL SETOR SUL;RUA P-03, QUADRA 14 S/N;SETOR SUL;77064642;-10.3416266;-48.2962091
ARAGUAÍNA;ESCOLA MUNICIPAL LUIZ GONZAGA;RUA ADOLFO JUNIOR QD 22 LT 01 S/N;COSTA ESMERALDA;77829044;-7.1320341;-48.1919885
DIANÓPOLIS;ESCOLA ESTADUAL ANTONIO POVOA;RUA TOCANTINS S/N;CAVALCANTE;77300000;-11.6164423;-46.8234507
ANGICO;COLÉGIO ESTADUAL DULCE COELHO DE SOUSA;AVENIDA PERIMETRAL, S/N;CENTRO;77905000;-6.3919426;-47.8673108
PIUM;ESCOLA MUNICIPAL JOÃO TEIXEIRA FILHO;RODOVIA TRANSJAVAÉS - POVOADO CAFÉ DA ROÇA;ZONA RURAL;77570000;-10.0480258;-49.6391753
ARAGUAÍNA;ESCOLA MUNICIPAL SIMÃO LUTZ;RUA DAS JAQUEIRAS, 329;LOTEAMENTO ARAGUAINA SUL;77827160;-7.1889016;-48.1928058
PALMAS;ESCOLA MUNICIPAL ROSEMIR FERNANDES DE SOUZA;RUA 30 APM-06;JARDIM AURENY III;77062056;-10.32243022;-48.31911321
GUARAÍ;ESCOLA ESTADUAL IRINEU ALBANO HENDGES;AVENIDA W-04 ESQUINA COM AV. B-08, S/N;SETOR AEROPORTO;77700000;-8.85150167;-48.50382667
FORMOSO DO ARAGUAIA;COLÉGIO ESTADUAL TIRADENTES;RUA 8 , S/N;CENTRO;77470000;-11.8011603;-49.5301365
ARAGUAÍNA;CENTRO DE ENSINO MEDIO BENJAMIM JOSE DE ALMEIDA;QUADRA 02 - COMERCIAL;CONJUNTO URBANISTICO;77804370;-7.1831424;-48.2208794
GUARAÍ;CENTRO DE ENSINO MÉDIO OQUERLINA TORRES;AVENIDA ARAGUAIA, N 2447 - CENTRO;Centro;77700000;-8.83364333;-48.51006167
PORTO NACIONAL;APAE - ESCOLA ESPECIAL MÃE TIA EULINA BRAGA (ANTIGA DRE);AVENIDA PRES. JOHN KENNEDY, N 1400;SETOR AEROPORTO;77500000;-10.71105845;-48.40537368
TOCANTÍNIA;ESC. MUN. BENVINDO SOUZA LUZ (ÁGUA FRIA II);ASSENTAMENTO ÁGUA FRIA II;ZONA RURAL;77640000;-9.7729408;-48.177646
FORMOSO DO ARAGUAIA;COLÉGIO ESTADUAL DONA GERCINA BORGES TEIXEIRA;AV. CANTIDIO FERNANDES, S/N;CENTRO;77470000;-11.8055783;-49.5266059
