NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
FORMOSO DO ARAGUAIA;ESCOLA MUNICIPAL DALCI BARROS MILHOMENS;AV JORGE MONTEL, S/N;SETOR JARDIM PLANALTO;77470000;-11.8013032;-49.5199704
MIRANORTE;ESCOLA MUNICIPAL ANTONIO PEREIRA DE SOUSA;AVENIDA ALFREDO NASSER, 200;CENTRO;77666000;-9.5309419;-48.5895043
SAMPAIO;ESCOLA MUNICIPAL PRIMEIRO DE JUNHO;RUA MANOEL MATOS - QUADRA 37 - LOTE 02;CENTRO;77980000;-5.3519878;-47.8781567
PALMAS;CENTRO EDUCACIONAL SÃO FRANCISCO DE ASSIS;108 NORTE, ALAMEDA 02, LOTE 02;CENTRO;77000000;-10.1839027;-48.3186296
ARAGUAÍNA;ESCOLA MUNICIPAL DR CESAR BELMINO EVANGELISTA;AVENIDA BRASIL, S/N;SETOR TEREZA HILARIO RIBEIRO;77826498;-7.1878358;-48.1804749
PARAÍSO DO TOCANTINS;ESCOLA ESTADUAL AMÂNCIO DE MORAES;RUA TAPAJOS, 699;CENTRO;77600000;-10.17795977;-48.887105
PORTO NACIONAL;ESCOLA MUNICIPAL PADRE LUSO MATOS  (ANTIGA FREI AUDRIN);RUA D. PEDRO PRIMEIRO, S/N;JARDIM MUNICIPAL;77500000;-10.7101523;-48.4114666
PALMAS;ESCOLA MUNICIPAL LUIZ GONZAGA;503 NORTE APM-06;PLANO DIRETOR NORTE;77001828;-10.1567436;-48.3278836
GURUPI;ESCOLA PRESBITERIANA ARAGUAIA DE GURUPI;RUA PRESIDENTE GETULIO VARGAS 1344 (ANTIGA RUA 06) ENTRE AS AV MA E GO;CENTRO;77400000;-11.7299215;-49.0676798
SANDOLÂNDIA;COLÉGIO ESTADUAL NOSSA SENHORA APARECIDA; RUA CÓRREGO PITOMBA, S/N, CENTRO.;CENTRO;77478000;-12.5432544;-49.931929
AXIXÁ DO TOCANTINS;ESCOLA MUNICIPAL MENINO JESUS - POVOADO LAGOA DE SÃO SALVADOR;POVOADO LAGOA DE SÃO SALVADOR;LAGOA DE SÃO SALVADOR;77930000;-5.6469262;-47.737876
PEDRO AFONSO;ESCOLA MUNICIPAL JOSÉ COMBAS ALAMEDA;RUA 4, SETOR AEROPORTO II;CENTRO;77710000;-8.99154833;-48.15867
ALVORADA;ESCOLA MUNICIPAL PROFESSORA FILOMENA ROCHA SOARES;RUA ADELINO PINHEIRO DE QUEIROZ S/N CENTRO.;CENTRO;77480000;-12.4768115;-49.1239201
AGUIARNÓPOLIS;COLÉGIO ESTADUAL NAZARÉ NUNES DA SILVA;RUA MARANHÃO, S/N;CENTRO;77908000;-6.5600954;-47.4775633
CENTENÁRIO;ESCOLA MUNICIPAL GUSTAVO COSTA;RUA SAO PAULO, S/N;CENTRO;77723000;-8.9570083;-47.3325383
DIANÓPOLIS;ESCOLA BATISTA B. H. FOREMAN;RUA JOAQUIM RODRIGUES, S/N;CENTRO;77300000;-11.6270942;-46.8182307
TOCANTINÓPOLIS;ESCOLA ESTADUAL INDÍGENA TEKATOR;ALDEIA INDÍGENA MARIAZINHA;ALDEIA INDÍGENA;77900000;-6.2028952;-47.4559299
PEIXE;ESCOLA MUNICIPAL RUI IRINEU SILVA;AVENIDA ABIAS MELARINDO - POVOADO LAGOA DO ROMAO;ZONA RURAL;77460000;-11.84043;-48.3910183
LAGOA DO TOCANTINS;ESCOLA ESTADUAL SALMON DO AMARAL BRITO;AV. GOIÁS, N.390;CENTRO;77613000;-10.2963823;-47.5643888
ALVORADA;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;RUA 7 DE SETEMBRO, ESQ. COM AV. PEDRO LUDOVICO ;CENTRO;77480000;-12.4793377;-49.1236711
MONTE DO CARMO;ESCOLA MUNICIPAL DURVAL SILVA;RUA MOISÉS RODRIGUES NERES, S/N, SETOR IPIRANGA;SETOR IPIRANGA;77585000;-10.77197839;-48.11363865
GURUPI;COLEGIO ESTADUAL VILA GUARACY;RUA A , SN;VILA GUARACY;77400000;-11.74025249;-49.07963044
GURUPI;ESCOLA MUNICIPAL JOEL FERREIRA SOARES;RUA 56, ESQUINA COM RUA 71, S/N, SETOR NOVA FRONTEIRA;CENTRO;77400000;-11.74868908;-49.07206376
PALMEIRAS DO TOCANTINS;ESCOLA ESTADUAL RAIMUNDO NEIVA DE CARVALHO;RUA DELVIDIO LIMA FEITOSA, S/N;CENTRO;77913000;-6.6086207;-47.5444041
DIANÓPOLIS;ESCOLA MUNICIPAL SANTA LUZIA;RUA BURITIS, S/N;SANTA LUZIA;77300000;-11.6104899;-46.8209787
GOIATINS;COLEGIO ESTADUAL ADA DE ASSIS TEIXEIRA;PRACA JOSE DE ASSIS, S/N;CENTRO;77770000;-7.7140747;-47.3147771
ARAGUATINS;ESTADUAL OSVALDO FRANCO;RUA MARECHAL CASTELO BRANCO S/N;NOVA ARAGUATINS;77950000;-5.6503791;-48.111712
ARAPOEMA;ESCOLA ESTADUAL ANTONIO DELFINO GUIMARAES;AVENIDA DOS CRISTAIS, S/N;SETOR PLANO NOVO;77780000;-7.6551839;-49.0655222
ARAGUATINS;ESCOLA MUNICIPAL EDGAR TOLENTINO;POVOADO TRANSARAGUAIA;ZONA RURAL;77950000;-5.7193234;-48.1475868
MIRACEMA DO TOCANTINS;CEM DONA FILOMENA MOREIRA DE PAULA;RUA OSANA GONCALVES CAVALCANTE, S/N;SETOR SANTA FILOMENA;77650000;-9.560335;-48.407125
GUARAÍ;COLÉGIO ESTADUAL DONA ANAÍDES BRITO MIRANDA;AVENIDA 15 DE NOVEMBRO, N. 1580;Centro;77700000;-8.83227;-48.51647167
PALMAS;ESCOLA ESTADUAL VILA UNIÃO;307 NORTE(ARNO 33) ALAMEDA 23 APM-06;PLANO DIRETOR NORTE;77001404;-10.1653577;-48.3477494
SANTA ROSA DO TOCANTINS;COLÉGIO TENENTE SALVADOR RIBEIRO;RUA RIBEIRO ARANHA, S/N;CENTRO;77375000;-11.4486361;-48.1170972
CRIXÁS DO TOCANTINS;COLÉGIO ESTADUAL OLAVO BILAC;CENTRO;CENTRO;77449000;-11.1027265;-48.9192415
ARAGUAÇU;ESCOLA MUNICIPAL ALDENORA MENDES MASCARENHAS;RUA SÃO PAULO, S/N, QD 26, LT 25 - CENTRO;CENTRO;77475000;-12.9283474;-49.8273135
COLINAS DO TOCANTINS;ESCOLA PRESBITERIANA DE COLINAS DO TOCANTINS;RUA OSVALDO PACHECO DE LIMA, 885;CENTRO;77760000;-8.0576437;-48.4744083
AXIXÁ DO TOCANTINS;ESCOLA MUNICIPAL DOM PEDRO I - POVOADO GROTÃO;RUA DO CAMPO,  S/N POVOADO GROTÃO;ZONA RURAL;77930000;-5.5670589;-47.8052421
BARRA DO OURO;ESCOLA ESTADUAL BREJÃO;POVOADO MORRO GRANDE;ZONA RURAL;77765000;-7.8494401;-47.5395098
PALMAS;CENTRO DE ENSINO MÉDIO CASTRO ALVES;305 NORTE(ARNO 32) APM-25 APE 1,2;PLANO DIRETOR NORTE;77016524;-10.1647065;-48.3452414
XAMBIOÁ;ESCOLA MUNICIPAL FRANCISCO DE OLIVEIRA;RUA ANTONIO MARANHAO, 660;BAIXA FRIA;77880000;-6.4146839;-48.5380437
MARIANÓPOLIS DO TOCANTINS;ESCOLA MUNICIPAL JOÃO BRAGA DE OLIVEIRA;ASSENTAMENTO MANCHETE;ZONA RURAL;77675000;-9.744648;-49.972753
ALIANÇA DO TOCANTINS;COLEGIO DUQUE DE CAXIAS;AVENIDA BERNARDO SAYAO, QD 20-B;CENTRO;77455000;-11.3037719;-48.9387123
PALMAS;EMTI - LUIZ RODRIGUES MONTEIRO;AV. FRANCISCO GALVÃO DA CRUZ, QUADRA 49, S/N;TAQUARALTO;77064546;-10.3351122;-48.294246
CARRASCO BONITO;ESCOLA ESTADUAL INÊS VIANA COSTA;RUA MANOEL DOMINGOS, S/N - POVOADO VINTE MIL;ZONA RURAL;77985000;-5.4073418;-48.0068532
LAGOA DA CONFUSÃO;ESCOLA MUNICIPAL DONA JÚLIA PELEGRIN;AV. MANOEL PEREIRA ALVES, S/N;CENTRO;77493000;-10.7816444;-49.6159701
SÃO MIGUEL DO TOCANTINS;ESCOLA ESTADUAL BELA VISTA;RUA ANTONIO MARTINS JORGE, S/N;BELA VISTA;77925000;-5.540413;-47.5060445
PARANÃ;ESCOLA ESTADUAL SANTA RITA DO RIO PALMA;RODOVIA BR 242, PARANÃ/ARRAIAS KM 40;POVOADO BOM JESUS DA PALMA;77360000;-12.6252383;-47.5613117
BARROLÂNDIA;ESCOLA MUNICIPAL CRIANÇA FELIZ;RUA MANOEL NOGUEIRA FILHO N 561;VILA NOVA;77665000;-9.842164;-48.7268847
COLINAS DO TOCANTINS;ESCOLA MUNICIPAL PRIMAVERA;RUA BARÃO DO RIO BRANCO, N. 10;SETOR RODOVIÁRIO;77760000;-8.0668083;-48.469215
PUGMIL;ESCOLA MUNICIPAL JOSÉ BATISTA MACIEL BASTOS;PRAÇA DA MATRIZ;CENTRO;77673000;-10.4243623;-48.8955394
GURUPI;INSTITUTO FEDERAL DE CIÊNCIA E TECNOLOGIA DO TOCANTINS;ALAMEDA MADRI, 545;JARDIM SEVILHA;77410470;-11.738791;-49.0550173
RIO DA CONCEIÇÃO;ESCOLA MUNICIPAL PROFESSOR AURELINO RODRIGUES DE ARAÚJO;RUA DOS PÓVOAS S/N;CENTRO;77303000;-11.4010528;-46.88306
ARAGUAÍNA;ESCOLA MUNICIPAL SANTA ROSA;POVOADO AGUA AMARELA;ZONA RURAL;77800000;-7.1376518;-48.2589822
ARAGUAÍNA;ESCOLA PAROQUIAL LUIZ AUGUSTO;RUA HUMBERTO DE CAMPOS, 527;SÃO JOÃO;77807060;-7.1953005;-48.1977496
PAU D'ARCO;ESCOLA ESTADUAL ULISSES GUIMARAES;RUA RUI BARBOSA, S/N;CENTRO;77785000;-7.5375921;-49.3666997
PALMAS;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SONHO DE CRIANCA;RUA MS 22 APM 128;SETOR MORADA DO SOL;77066024;-10.3441601;-48.2822855
BANDEIRANTES DO TOCANTINS;ESCOLA MUNICIPAL FRANCISCO DIVINO VASCONCELOS;RUA TIRADENTES, 403;CENTRO;77783000;-7.7594433;-48.5754833
MIRACEMA DO TOCANTINS;COLEGIO TOCANTINS;AVENIDA TOCANTINS, S/N;CENTRO;77650000;-9.5689178;-48.3869214
SÃO MIGUEL DO TOCANTINS;ESCOLA ESTADUAL SAO MIGUEL;RUA AFONSO PENA, S/N;CENTRO;77925000;-5.5534789;-47.5769285
DIVINÓPOLIS DO TOCANTINS;ESCOLA MUNICIPAL ISABEL CARLOS WANDERLEY;RUA MARCILON MARTINS;SETOR FERNANDINHO;77670000;-9.808267;-49.2175297
SÃO MIGUEL DO TOCANTINS;ESCOLA MUNICIPAL JOAO PESSOA;RUA DUQUE DE CAXIAS, S/N;CENTRO;77925000;-5.5561695;-47.5769702
BARRA DO OURO;ESCOLA ESTADUAL PROFESSOR VICENTE JOSÉ VIEIRA;RUA JOSE PEREIRA, 193;CENTRO;77765000;-7.7143613;-47.6723066
TOCANTINÓPOLIS;ESCOLA ESTADUAL INDÍGENA KUNITIK;ALDEIA PATIZAL;ALDEIA INDÍGENA;77900000;-6.2172166;-47.6287072
ARAGUAÍNA;ESCOLA ESTADUAL NORTE GOIANO;RUA MATO GROSSO, 328;ENTRONCAMENTO;77818250;-7.1816618;-48.2227367
BREJINHO DE NAZARÉ;ESCOLA MUNICIPAL MALHADINHA;COMUNIDADE QUILOMBOLA FAZENDA MALHADINHA;ZONA RURAL;77560000;-10.8426519;-48.4598477
PALMAS;ESCOLA MUNICIPAL MONTEIRO LOBATO;1006 SUL APM 16;PLANO DIRETOR SUL;77023588;-10.244901;-48.3202854
GURUPI;ESCOLA MUNICIPAL TREVO DO TOCANTINS;POVOADO DO TREVO DA PRAIA;ZONA RURAL;77400000;-11.4383095;-48.6433114
NATIVIDADE;ESCOLA ESPECIAL CORACI DE SENA FERNANDES;RUA B, S/N - SETOR GINASIAL;CENTRO;77370000;-11.7108287;-47.7278073
NAZARÉ;ESCOLA ESTADUAL PRESIDENTE CASTELO BRANCO (PADRÃO);RUA 1 DE JANEIRO, S/N - PRAÇA PADRE BRUNO KAFFA;CENTRO;77895000;-6.3743624;-47.6601212
APARECIDA DO RIO NEGRO;ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL MEIRA MATOS;AV. JESUINO RAIMUNDO GUEDES, S/N;AEROPORTO;77620000;-9.9554259;-47.9780068
PALMAS;ESCOLA MUNICIPAL HENRIQUE TALONE PINHEIRO;210 SUL(ARSE 24) ALAMEDA 05 LOTE 10;CENTRO;77020594;-10.1940525;-48.3103357
SANTA TEREZINHA DO TOCANTINS;ESCOLA MUNICIPAL SAO PEDRO;POVOADO FORTUNA;ZONA RURAL;77885000;-6.4548032;-47.7313538
ARAGUAÍNA;ESCOLA MUNICIPAL JOSÉ GOMES SOBRINHO;AV BRASIL QD 21 SN ST MONTE SINAI;SETOR MONTE SINAI;77814780;-7.2308326;-48.2552464
ARAGUAÍNA;CENTRO DE ENSINO MEDIO PAULO FREIRE;RUA SADOC CORREIA, 488;CENTRO;77803060;-7.1949604;-48.2096121
PALMEIRANTE;ESCOLA MUNICIPAL MENINO JESUS;RUA BEIRA RIO, S/N;CENTRO;77798000;-7.8613165;-47.9296252
PRESIDENTE KENNEDY;COLÉGIO ESTADUAL JUSCELINO KUBITSCHEK;AV. JOSÉ F. DE ARAÚJO, 2-112;CENTRO;77745000;-8.5323594;-48.5001911
PEDRO AFONSO;ESCOLA ESTADUAL ANA AMORIM;RUA CONSTANCIO GOMES, N. 1.101;CENTRO;77710000;-8.97533333;-48.17613
NOVA ROSALÂNDIA;ESCOLA ESTADUAL 1 GRAU PEDRO XAVIER;RUA TOCANTINS, S/N;CENTRO;77495000;-10.5690528;-48.9127544
RIO DA CONCEIÇÃO;ESCOLA ESTADUAL VIRGILIO FERREIRA DE FRANCA;PRACA DA BIBLIA S/N;CENTRO;77303000;-11.3965317;-46.8852985
PONTE ALTA DO BOM JESUS;ESCOLA ESTADUAL ANTONIO CARLOS DE FRANCA;PRACA DA PREFEITURA MUNICIPAL, S/N;CENTRO;77315000;-12.091294;-46.4805778
PALMEIRANTE;ESCOLA MUNICIPAL MARGARIDA OLIVEIRA DE SOUSA;POVOADO CICILANDIA;ZONA RURAL;77798000;-7.6971616;-48.0259887
TABOCÃO;COLÉGIO ESTADUAL MAJOR JUVENAL PEREIRA DE SOUSA;AVENIDA DOS PROFESSORES, SN;CENTRO;77708000;-9.05765;-48.51973833
JUARINA;ESCOLA MUNICIPAL PINGO DE GENTE;AV. JUSCELINO KUBITSCHEK;CENTRO;77753000;-8.122061;-49.0968832
AUGUSTINÓPOLIS;ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL AUGUSTINÓPOLIS;RUA SÃO SEBASTIÃO, 216;CENTRO;77000000;-5.4636995;-47.8856802
MONTE DO CARMO;ESCOLA ESTADUAL DINA DE OLIVEIRA;P.A MALHADA DA PEDRA;ZONA RURAL;77585000;-10.92902105;-47.99885678
GUARAÍ;CEMEI - PROFESSORA AUREA GONÇALVES MACEDO;AV. 31 DE MARÇO S/N;SETOR PESTANA;77700000;-8.827365;-48.50766333
SÃO VALÉRIO;COLÉGIO MUNICIPAL JOSÉ LOPES CHAVES;AVENIDA TOCANTINS S/N;CENTRO;77390000;-11.9638433;-48.2333611
PONTE ALTA DO TOCANTINS;ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA CLEYTON MAIA BARROS;RUA JOSÉ RIBAMAR COSTA ESQ. AV. DR. ALBENY FERRAZ MACHADO;CENTRO;77590000;-10.746321;-47.5380059
FORMOSO DO ARAGUAIA;CENTRO MUNICIPAL DE EDUCACAO INFANTIL - ANTIGO DOMINGOS ALVES GAMA;AVENIDA MONTEIRO LOBATO, 35S/N;SETOR SÃO JOSÉ I;77470000;-11.8105615;-49.5243734
APARECIDA DO RIO NEGRO;ESCOLA MUNICIPAL LUZA MACHADO DE MIRANDA;AVENIDA JK, QD 8, LT 05, S/N;SÃO DOMINGOS;77620000;-9.9534775;-47.9698017
AXIXÁ DO TOCANTINS;ESCOLA ESTADUAL SAO FRANCISCO DE ASSIS;RUA 13 DE MAIO, S/N;CENTRO;77930000;-5.6131957;-47.7630714
MIRACEMA DO TOCANTINS;ESCOLA EST. OSCAR SARDINHA;AVENIDA INDUSTRIAL, S/N;VILA MARIA;77650000;-9.5585719;-48.3963278
GURUPI;COLÉGIO DE TEMPO INTEGRAL PRESIDENTE COSTA E SILVA;AV RIO DE JANEIRO S/N - CENTRO;CENTRO;77400000;-11.72158473;-49.07468311
PINDORAMA DO TOCANTINS;CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL TIA CARMOSINA GONÇALVES;AVENIDA 1 ESQUINA COM RUA 5;SETOR VILA NOVA;77380000;-11.134615;-47.58236667
ARAGUAÍNA;ESCOLA MUNICIPAL DUQUE DE CAXIAS;SEDE DO ASSENTAMENTO BREJÃO;ZONA RURAL;77800000;-7.0334245;-48.2302108
PRAIA NORTE;ESCOLA MUNICIPAL REDENÇÃO;RUA PRINCIPAL - S/N - POVOADO CAMARÃO I;ZONA RURAL;77970000;-5.4418102;-47.7119195
ARAGUAÍNA;ESCOLA MUNICIPAL JOSE NOGUEIRA;POVOADO PROJETO DE ASSENTAMENTO RIO PRETO;ZONA RURAL;77834899;-7.3178279;-48.6948015
GOIANORTE;ESCOLA ESTADUAL MORRO DO MATO;RUA PIAUÍ, S/N;SETOR PALMEIRAS;77695000;-8.77042776;-48.93728882
AXIXÁ DO TOCANTINS;ESCOLA MUNICIPAL MARECHAL RONDON;RUA 26 DE SETEMBRO;CENTRO;77930000;-5.6138884;-47.7741833
PALMAS;ESCOLA ESTADUAL VALE DO SOL;RUA NC-11 AL-G;SETOR VALE DO SOL;77064310;-10.3343022;-48.2845391
ITAPORÃ DO TOCANTINS;COLÉGIO ESTADUAL FRANCISCA ALVES DE ALENCAR;AVENIDA 7 DE SETEMBRO, S/N;CENTRO;77740000;-8.57333391;-48.69001119
PAU D'ARCO;ESCOLA MUNICIPAL DOMINGAS RIBEIRO;RUA JOSE VIEIRA, 533;CENTRO;77785000;-7.5401283;-49.37133
CHAPADA DA NATIVIDADE;ESCOLA MUNICIPAL MARCOLINA PINTO RABELO;RUA DOS CRUZEIROS, S/N, CENTRO;CENTRO;77378000;-11.6163133;-47.7518217
ITAGUATINS;ESCOLA MUNICIPAL SAO BENTO - ASSENTAMENTO FAZENDA REIS;ASSENTAMENTO FAZENDA REIS;ZONA RURAL;77920000;-5.7696741;-47.7024967
COLMÉIA;CMEI EURIPADES VIEIRA DE SOUSA;AVENIDA CASTELO BRANCO;CENTRO;77725000;-8.73004495;-48.75717208
CAMPOS LINDOS;ESCOLA MUNICIPAL JOSÉ RAMOS DE SOUSA;POVOADO RANCHARIA;ZONA RURAL;77777000;-8.2079066;-46.9496143
ITAGUATINS;ESCOLA MUNICIPAL JAIME NUNES;RUA DEOCLECIANO AMORIM, S/N;CENTRO;77920000;-5.7746291;-47.478397
SANTA RITA DO TOCANTINS;ESCOLA ESTADUAL BOA NOVA;RUA FIRMINO ROCHA DE SOUSA, S/N;CENTRO;77565000;-10.8659388;-48.9094356
PARAÍSO DO TOCANTINS;COLEGIO ESTADUAL PROFESSOR JOSÉ NEZIO RAMOS;RUA 56, 1179;POUSO ALEGRE;77600000;-10.19301355;-48.88962555
COLMÉIA;ESCOLA MUNICIPAL JOSEFINA RIBEIRO DOS SANTOS;AVENIDA LONGUINHO VIEIRA JÚNIOR, S/N;SETOR SUL;77725000;-8.73989153;-48.74869569
PONTE ALTA DO TOCANTINS;COLÉGIO ESTADUAL ODOLFO SOARES;AVENIDA BRASÍLIA, S/N;SETOR JARDIM BRASÍLIA;77590000;-10.74364167;-47.53911
ARAGUANÃ;ESCOLA MUNICIPAL JOSE DE ALENCAR;RUA  BOM JESUS, S/N - POV ARAGUACY;ZONA RURAL;77855000;-6.793692;-48.616722
PORTO ALEGRE DO TOCANTINS;ESCOLA ESTADUAL ALFREDO NASSER;RUA CELINA CARDOSO, S/N;CENTRO;77395000;-11.6099434;-47.0488621
PEIXE;ESCOLA MUNICIPAL OLAVO BILAC;RUA 3 QD PMP3 LT 01 - VILA QUIXABA;ZONA RURAL;77460000;-11.8798917;-48.8378417
GUARAÍ;FAG - FACULDADE DE GUARAI;AVENIDA  PRESIDENTE JK,  2241;Centro;77700000;-8.83994833;-48.505785
PALMAS;ESCOLA MUNICIPAL BENEDITA GALVÃO;RUA NC 12 QUADRA 41 LOTE 11;SETOR BELA VISTA;77064706;-10.3502231;-48.2909228
COLMÉIA;CENTRO EDUCACIONAL ARTE DO SABER;AVENIDA GUARAI 203;CENTRO;77725000;-8.73062024;-48.76382988
BABAÇULÂNDIA;ESCOLA ESTADUAL LEOPOLDO DE BULHOES;RUA MANOEL DIAS SOARES, 191, BAIRRO NOVO MILÊNIO I;NOVO MILÊNIO I;77870000;-7.2029614;-47.7616459
PALMAS;COLÉGIO ALBERT EINSTEIN;706 SUL(ARSE 72) QD HM  AL 21 LT 08;PLANO DIRETOR SUL;77022402;-10.2292062;-48.3212173
ARAGUANÃ;ESCOLA MUNICIPAL CASTRO ALVES;P. A. INHUMAS, PROX À SEDE;ZONA RURAL;77855000;-6.7679595;-48.5749875
TUPIRAMA;ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL MARIA DA GLÓRIA;RUA ABRAÃO AGUIAR, N. 54, CENTRO;CENTRO;77704000;-8.9748877;-48.1912572
SÍTIO NOVO DO TOCANTINS;ESCOLA MUNICIPAL SÃO PEDRO - POVOADO SÃO PEDRO;RUA PRINCIPAL, S/N POVOADO SÃO PEDRO;ZONA RURAL;77940000;-5.5483583;-47.6355117
ARAGUAÍNA;ESCOLA MUNICIPAL MANOEL LIRA;RUA 30 - QUADRA 43 - LOTE 11;SETOR NOVA ARAGUAINA;77815490;-7.2217546;-48.242188
FILADÉLFIA;ESCOLA ESTADUAL PROF. JOSÉ FRANCISCO DOS MONTES;POVOADO BIELÂNDIA;ZONA RURAL;77795000;-7.4837757;-47.8650539
MARIANÓPOLIS DO TOCANTINS;ESCOLA MUNICIPAL PIRACEMA;PA PIRACEMA;ZONA RURAL;77675000;-9.5740696;-49.6465736
BANDEIRANTES DO TOCANTINS;ESCOLA MUNICIPAL OSMAR FRANCISCO GONZAGA;RUA DO COMERCIO, S/N - POVOADO DE CANTAO;ZONA RURAL;77783000;-7.7464;-48.6760233
SÃO SEBASTIÃO DO TOCANTINS;ESCOLA MUNICIPAL ARMANDO ALVES DA SILVA;ASSENTAMENTO PA NOVA ESTRELA, ZONA RURAL;ZONA RURAL;77990000;-5.2654658;-48.3266732
GURUPI;ESCOLA MUNICIPAL VALNIR DE SOUZA SOARES;RUA 29, QD G,;JARDIM MEDEIROS;77400000;-11.7115254;-49.08619121
RIO SONO;ESCOLA MUNICIPAL TOMÁS DE AQUINO;AVENIDA PRIMEIRO DE FEVEREIRO;CENTRO;77635000;-9.347505;-47.89099167
DARCINÓPOLIS;ESCOLA MUNICIPAL MARIA ZILDA PEREIRA ALVES;PA AMIGOS DA TERRA RODOVIA 134 KM 14;ZONA RURAL;77910000;-6.671493;-47.8709198
DARCINÓPOLIS;GRUPO MUNICIPAL DOS MACACOS;POVOADO MACACOS;ZONA RURAL;77860000;-6.706130099999999;-47.7531331
PALMAS;UNOPAR - UNIVERSIDADE NORTE DO PARANÁ;ACSU SE 20 AV. NS 02,  CONJ 2, LOTE 14;PLANO DIRETOR SUL;77020454;-10.2086429;-48.3321242
PALMAS;ESCOLA ESTADUAL SANTA FÉ;RUA TANCREDO NEVES S/N;SETOR SANTA FE;77000000;-10.3252686;-48.2956483
PONTE ALTA DO BOM JESUS;ESCOLA DONA DAMIANA;POVOADO MIMOSA DOS MARINHOS;ZONA RURAL;77315000;-12.2507208;-46.6690011
PEIXE;ESCOLA MUNICIPAL SAO JOSE;RUA 07A LT 7 QD 15, S/N;VILA SÃO JOSÉ;77460000;-12.0226799;-48.5430851
ARAGUAÍNA;ESCOLA ESTADUAL MANOEL GOMES DA CUNHA;RUA ANÁPOLIS, N. 65, NOVO HORIZONTE ;SETOR NOVO HORIZONTE;77819008;-7.186351;-48.3399965
ESPERANTINA;COLEGIO ESTADUAL JOAQUINA MARIA DA SILVA;AV TOCANTINS, S/N;NOVA ESPERANTINA;77993000;-5.3652325;-48.5464568
ARAGOMINAS;EXTENSÃO DA ESCOLA MUNICIPAL CIRILO RIBEIRO DA SILVA;PA VITÓRIA RÉGIA;ZONA RURAL;77845000;-6.6906651;-48.6972785
PAU D'ARCO;ESCOLA MUNICIPAL POLIANA KENIA;PROJETO SUDAM INCRA, S/N;ZONA RURAL;77785000;-7.485045;-48.8623017
SÃO SEBASTIÃO DO TOCANTINS;ESCOLA MUNICIPAL LETÍCIA CARNEIRO DE SOUSA;RUA FLORENTINA, S/N;CENTRO;77990000;-5.2604783;-48.2057267
FILADÉLFIA;ESCOLA MUNICIPAL CRIANÇA ALEGRE;COMUNIDADE QUILOMBOLA GROTÃO;ZONA RURAL;77795000;-7.6283383;-47.9517945
PEIXE;ESCOLA MUNICIPAL SOL NASCENTE;POVOADO NOVO NILO;ZONA RURAL;77460000;-12.1061044;-48.4184626
TALISMÃ;ESCOLA MUNICIPAL VILA UNIÃO;RUA ADELINO RODRIGUES DA SILVA, S/Nº - DISTRITO VILA UNIÃO;VILA UNIAO;77483000;-12.3950493;-48.8170003
GOIATINS;ESCOLA MAURICIO DE ANDRADE;BARRA DA ESTIVA;ZONA RURAL;77770000;-7.99030667;-47.1103
RIACHINHO;ESCOLA MUNICIPAL TANCREDO NEVES;RUA VICENTE BORGES - POVOADO CENTRO DOS BORGES;ZONA RURAL;77893000;-6.5019503;-48.0563814
PALMAS;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SITIO DO PICA-PAU AMARELO;RUA 7 APM 07;JARDIM AURENY IV;77060008;-10.3001494;-48.30718
PALMAS;FACULDADE CATÓLICA DO TOCANTINS;ACSU-SE 140, AV. TEOTONIO SEGURADO, QUADRA 1402, LOTE 01;PLANO DIRETOR SUL;77061002;-10.2703379;-48.3322381
ARAGOMINAS;ESCOLA ESTADUAL JOSÉ DOMINGOS CARVALHO BARBOSA;SEDE DO ASSENTAMENTO REUNIDAS;ZONA RURAL;77845000;-6.8420104;-48.6994977
SÃO VALÉRIO;ESCOLA MUNICIPAL JUCELINO KUBITSCHEK;PRAÇA CENTRAL - POVOADO DE APINAJÉ;ZONA RURAL;77390000;-11.5358;-48.2955683
GOIATINS;ESCOLA INDIGENA TXUARET;ALDEIA INDIGENA RIO VERMELHO;ALDEIA INDÍGENA;77770000;-8.0464018;-47.2569449
GUARAÍ;ESCOLA MUNICIPAL LEÔNCIO DE SOUSA MIRANDA;AVENIDA ALAGOAS, 1140;SETOR PESTANA;77700000;-8.826975;-48.50705
DOIS IRMÃOS DO TOCANTINS;ESCOLA MUNICIPAL PETRONIO LIMA ARBUES;RUA NOVA, S/N;CENTRO;77685000;-9.2626367;-49.0653733
DIANÓPOLIS;UNIVERSIDADE DO TOCANTINS - UNITINS;PRAÇA AURÉLIO ANTÔNIO, N. 2;CENTRO;77300000;-11.6234367;-46.8187848
PONTE ALTA DO TOCANTINS;PREFEITURA MUNICIPAL DE PONTE ALTA DO TOCANTINS;PRAÇA DOS TRÊS PODERES, S/N;CENTRO;77590000;-10.7464315;-47.5388431
